Latitude,Longitude,Carbohydrate,Lignin,Lignin_cellulose,Temperature
38.95,-106.95,0.00843215,0.001501906,0.009934055,2.45
38.95,-106.95,0.008959776,0.001981586,0.010941362,2.45
38.95,-106.95,0.011868161,0.002200857,0.014069018,2.45
38.95,-106.95,0.009957769,0.002238599,0.012196368,2.45
38.95,-106.95,0.009174554,0.002181378,0.011355932,2.45
38.95,-106.95,0.009714976,0.002152871,0.011867848,2.45
38.95,-106.95,0.010225797,0.001970125,0.012195922,2.45
38.95,-106.95,0.009814916,0.001880956,0.011695872,2.45
38.95,-106.95,0.011058973,0.00216009,0.013219063,2.45
38.95,-106.95,0.010026484,0.002435558,0.012462041,2.45
38.95,-106.95,0.01086302,0.002618977,0.013481997,2.45
38.95,-106.95,0.008451077,0.002029092,0.010480169,2.45
38.95,-106.95,0.010628979,0.002110633,0.012739612,2.45
38.95,-106.95,0.009877391,0.001930581,0.011807972,2.45
38.95,-106.95,0.009116236,0.001930956,0.011047192,2.45
38.95,-106.95,0.009688006,0.001949172,0.011637178,2.45
38.95,-106.95,0.0111612,0.002064937,0.013226137,2.45
38.95,-106.95,0.008502235,0.001590295,0.01009253,2.45
38.95,-106.95,0.010079193,0.002133743,0.012212936,2.45
38.95,-106.95,0.010915072,0.002294527,0.013209598,2.45
38.95,-106.95,0.009277557,0.002266067,0.011543624,2.45
38.95,-106.95,0.012034879,0.002370032,0.014404911,2.45
38.95,-106.95,0.012091135,0.002614679,0.014705814,2.45
38.95,-106.95,0.011160623,0.002828596,0.013989218,2.45
38.95,-106.95,0.009770942,0.002612755,0.012383697,2.45
38.95,-106.95,0.008480099,0.002246972,0.010727071,2.45
38.95,-106.95,0.012534983,0.002179997,0.01471498,2.45
38.95,-106.95,0.009778568,0.002001487,0.011780055,2.45
38.95,-106.95,0.011453282,0.002391435,0.013844718,2.45
38.95,-106.95,0.010031742,0.002650369,0.012682111,2.45
38.95,-106.95,0.009095948,0.002237837,0.011333785,2.45
38.95,-106.95,0.010861825,0.002536146,0.013397971,2.45
38.95,-106.95,0.008938528,0.002124175,0.011062704,2.45
38.95,-106.95,0.011875071,0.002329718,0.014204789,2.45
38.95,-106.95,0.010718621,0.002350124,0.013068745,2.45
38.95,-106.95,0.009378425,0.002461387,0.011839812,2.45
38.95,-106.95,0.009100827,0.002381348,0.011482174,2.45
38.95,-106.95,0.010156987,0.002467031,0.012624018,2.45
38.95,-106.95,0.010526497,0.002336112,0.012862609,2.45
38.95,-106.95,0.009979203,0.002249266,0.012228469,2.45
38.95,-106.95,0.009823771,0.002197059,0.01202083,2.45
38.95,-106.95,0.009836307,0.002195587,0.012031894,2.45
38.95,-106.95,0.009336801,0.002122579,0.01145938,2.45
38.95,-106.95,0.011366721,0.002230986,0.013597707,2.45
38.95,-106.95,0.009739899,0.00236573,0.012105629,2.45
38.95,-106.95,0.011536305,0.002560979,0.014097284,2.45
38.95,-106.95,0.009970083,0.002355138,0.012325221,2.45
38.95,-106.95,0.00914798,0.002515908,0.011663888,2.45
38.95,-106.95,0.012245675,0.002638635,0.01488431,2.45
38.95,-106.95,0.010239779,0.002156418,0.012396197,2.45
38.95,-106.95,0.009761346,0.002233858,0.011995204,2.45
38.95,-106.95,0.009286131,0.002167926,0.011454057,2.45
38.95,-106.95,0.009126498,0.002174695,0.011301192,2.45
38.95,-106.95,0.009852788,0.002070731,0.011923519,2.45
38.95,-106.95,0.011203273,0.002382918,0.013586192,2.45
38.95,-106.95,0.009666395,0.002693378,0.012359773,2.45
38.95,-106.95,0.009126238,0.002464689,0.011590926,2.45
38.95,-106.95,0.011505458,0.00259019,0.014095648,2.45
38.95,-106.95,0.01077863,0.002610535,0.013389166,2.45
38.95,-106.95,0.008759265,0.002559419,0.011318684,2.45
38.95,-106.95,0.009490616,0.002608717,0.012099333,2.45
38.95,-106.95,0.008906396,0.002694356,0.011600752,2.45
38.95,-106.95,0.010018705,0.002602961,0.012621666,2.45
38.95,-106.95,0.010672036,0.002701738,0.013373774,2.45
47.51,-93.45,0.023274099,0.002143026,0.025417125,11.3
47.51,-93.45,0.021255207,0.001984414,0.023239621,4.55
47.51,-93.45,0.02185772,0.002061453,0.023919173,6.8
47.51,-93.45,0.023141513,0.00149572,0.024637233,4.55
47.51,-93.45,0.02116593,0.001924568,0.023090498,6.8
47.51,-93.45,0.020490274,0.002151281,0.022641556,6.8
47.51,-93.45,0.01923998,0.001439766,0.020679746,9.05
47.51,-93.45,0.020601804,0.001792565,0.022394369,9.05
47.51,-93.45,0.020848996,0.001611059,0.022460055,11.3
47.51,-93.45,0.022626991,0.001836868,0.024463859,9.05
47.51,-93.45,0.021731183,0.001682331,0.023413514,11.3
47.51,-93.45,0.021687769,0.001701968,0.023389737,13.55
47.51,-93.45,0.02280796,0.002743255,0.025551215,4.55
47.51,-93.45,0.022636117,0.002826879,0.025462996,4.55
47.51,-93.45,0.019759199,0.003172167,0.022931365,11.3
47.51,-93.45,0.022617495,0.002699818,0.025317313,11.3
47.51,-93.45,0.023788633,0.00214223,0.025930864,6.8
47.51,-93.45,0.02295775,0.001984394,0.024942144,13.55
47.51,-93.45,0.023152372,0.002074477,0.025226849,13.55
47.51,-93.45,0.020216012,0.001984137,0.022200149,9.05
47.51,-93.45,0.020293912,0.002983918,0.02327783,13.55
47.51,-93.45,0.02130657,0.001987648,0.023294219,9.05
47.51,-93.45,0.022663635,0.00302851,0.025692144,6.8
47.51,-93.45,0.023276498,0.001934452,0.02521095,11.3
47.51,-93.45,0.02203676,0.00183184,0.0238686,6.8
47.51,-93.45,0.023872153,0.002957575,0.026829729,13.55
47.51,-93.45,0.0239958,0.00199036,0.025986161,9.05
47.51,-93.45,0.022825394,0.002029682,0.024855076,11.3
47.51,-93.45,0.02274236,0.001988207,0.024730567,6.8
47.51,-93.45,0.022163972,0.001885648,0.02404962,11.3
47.51,-93.45,0.023921072,0.002323264,0.026244336,9.05
